eid,w,o10,s1000
655,0,2778,432
655,0,1216,215
656,0,414,300
656,0,1389,127
656,0,352,141
656,0,1151,63
656,0,232,431
656,0,1066,-31
657,0,33,-248
657,0,691,74
657,0,253,-85
657,0,532,-5
657,1,46,-175
658,0,388,105
659,0,16,-242
659,0,342,-153
659,1,44,-233
659,0,2153,-86
660,0,1887,157
660,0,117,-202
660,0,88,-254
661,0,89,-81
661,0,4509,613
661,0,1278,-41
662,0,446,-123
663,0,122,-6
663,0,142,2
663,0,175,358
663,0,146,104
664,0,98,147
664,0,70,-10
664,0,40,-32
664,0,62,306
664,0,382,251
664,0,358,88
664,0,495,254
664,1,20,20
664,0,378,639
665,0,49,-49
665,0,266,708
665,0,70,222
665,1,29,-117
665,0,39,13
665,0,84,-15
665,0,78,244
665,0,359,449
666,0,345,527
666,0,29,44
666,0,160,545
666,0,198,176
666,1,54,61
666,0,71,112
666,0,30,100
666,0,84,-9
667,0,34,-105
667,0,374,2
667,0,206,140
667,0,290,363
668,0,43,-152
668,0,276,-128
670,0,86,-208
670,0,48,235
670,0,529,510
672,0,29,-124
686,0,1366,380
686,0,858,399
687,0,30,-41
687,0,41,28
687,0,38,106
687,1,214,10
687,0,205,61
687,0,992,12
687,0,535,338
687,0,130,306
687,0,421,31
687,0,69,-84
688,0,374,33
688,0,985,464
688,0,215,232
688,0,3552,80
688,0,23,-141
688,0,36,-39
688,0,726,44
688,0,52,125
688,0,395,472
688,1,49,-55
688,0,302,103
689,0,171,-18
689,0,840,7
689,0,1520,175
689,0,3830,32
689,0,190,106
689,0,370,-156
689,0,93,74
689,1,25,-135
689,0,54,-256
689,0,24,82
689,0,1004,21
690,0,61,-40
690,0,895,123
690,0,28,-141
690,0,140,311
690,0,2356,170
690,0,510,-76
690,0,479,6
690,0,1973,417
690,0,114,45
690,0,337,37
690,0,25,16
691,0,27,41
691,0,429,197
691,0,571,400
691,0,282,-92
691,0,78,-155
691,0,440,-50
691,0,116,78
691,0,208,22
691,1,39,-178
691,0,36,-20
692,0,47,-77
692,0,228,159
692,0,160,-14
692,0,1937,499
692,0,199,131
692,0,698,173
692,0,381,289
692,0,32,84
693,0,168,-37
693,0,99,-106
693,0,13,-104
693,0,572,-147
693,1,62,-87
693,0,194,45
693,0,2287,-87
693,0,323,47
694,0,39,-54
694,0,852,404
694,0,42,38
694,0,113,157
694,0,44,-30
694,0,150,90
694,0,78,19
694,0,212,120
694,1,86,156
695,0,356,2
695,0,141,-22
695,0,670,-157
696,0,21,-288
696,0,392,10
696,0,204,-89
696,0,899,12
696,0,90,-90
696,1,19,-93
696,0,783,231
697,0,941,56
697,0,1052,802
697,0,47,-62
697,0,158,3
698,0,1116,416
698,0,122,-59
699,0,1060,184
699,0,1249,79
699,0,369,29
699,0,144,-241
699,0,184,-302
699,0,2300,347
700,0,142,145
701,0,53,-208
701,0,1757,28
701,0,935,137
701,0,209,-204
701,0,4000,619
701,0,3222,102
703,0,91,-48
703,0,227,528
703,0,1913,351
703,0,450,418
703,0,1049,258
703,0,285,52
703,0,20,-132
704,0,1308,298
704,0,45,-254
704,0,471,-63
704,0,1431,-54
705,0,818,-269
705,0,151,-173
706,0,43,-152
706,0,1572,9
706,0,20,-153
706,0,166,-189
706,0,393,75
706,0,536,146
706,0,342,2
706,1,89,-190
706,0,86,-159
706,0,2147,-81
707,0,137,-218
707,0,4056,218
709,0,277,-141
709,0,108,-282
710,0,266,-2
710,0,175,72
710,0,1020,107
710,0,1164,-5
711,0,759,-24
711,0,1822,136
711,0,2247,221
712,0,108,-46
712,0,99,-105
712,0,771,640
713,0,44,109
713,0,61,166
713,0,1015,537
713,1,16,-31
713,0,1030,253
713,0,73,-12
713,0,142,272
713,0,528,591
714,0,1604,247
715,0,1697,340
715,0,559,-3
716,0,137,-311
716,0,1289,279
716,0,2594,369
716,0,1381,562
717,0,358,-124
717,0,110,-46
717,0,3104,469
718,0,264,-148
718,0,426,-195
718,0,1376,-52
719,0,107,-19
719,0,45,-86
719,0,47,26
719,0,560,406
719,0,120,11
719,0,221,235
719,0,244,313
729,0,652,-164
731,0,1191,328
732,1,62,-109
732,0,378,139
732,0,33,-157
732,0,69,-69
732,0,526,-62
732,0,3081,375
732,0,1832,417
733,0,63,-181
733,0,190,248
733,0,498,-28
733,0,47,103
733,0,28,-195
733,0,95,-30
733,0,1873,235
733,1,39,-110
733,0,115,-108
733,0,734,12
734,1,48,69
734,0,112,465
734,0,37,-21
734,0,460,45
734,0,38,-67
734,0,2162,547
734,0,35,-16
734,0,135,-109
734,0,1263,226
735,1,89,-43
735,0,1316,468
735,0,16,-160
735,0,2004,-49
735,0,90,-85
735,0,140,7
735,0,513,10
735,0,47,-23
735,0,217,-89
735,0,130,33
736,0,53,-33
736,0,205,-64
736,0,934,271
736,0,21,-273
736,0,193,-140
736,0,41,-187
736,0,541,-223
737,0,502,-67
737,0,109,347
737,0,223,375
737,0,254,189
737,0,52,-75
737,0,194,-25
737,0,177,-55
738,0,814,22
738,0,31,112
738,0,88,-24
738,0,362,-13
738,0,2194,111
738,0,32,-45
738,0,2332,2
738,0,67,-92
739,0,85,-78
739,0,918,143
739,0,145,307
739,0,29,125
739,1,37,43
739,0,176,-2
740,0,63,-54
740,0,151,87
740,0,55,114
740,0,135,45
740,0,23,-234
741,0,11,-343
741,1,62,237
741,0,216,359
741,0,350,45
741,0,92,16
741,0,323,-14
741,0,739,145
742,0,2523,-105
742,0,1068,-346
742,0,1050,-137
742,0,35,-382
742,0,161,-219
742,0,2315,-126
742,0,1789,24
743,0,937,-78
743,1,14,-326
743,0,335,-193
743,0,1061,-50
743,0,46,-233
743,0,1894,19
743,0,216,-76
743,0,121,93
743,0,806,-168
743,0,769,-231
744,0,3288,-24
744,0,275,-12
744,0,1240,214
744,0,1334,62
744,0,111,-140
745,0,41,35
745,0,1411,231
745,1,53,-47
745,0,262,-21
745,0,360,468
746,0,448,-44
746,0,944,-2
746,0,144,26
746,0,499,-109
746,0,2295,171
746,0,1605,244
747,0,23,-70
747,0,1545,-86
747,1,63,-145
747,0,86,-47
747,0,2171,174
747,0,564,283
747,0,1434,188
747,0,127,104
747,0,76,-179
748,1,26,-255
749,1,59,-210
749,0,83,-79
749,0,147,-154
749,0,314,-196
749,0,338,-30
750,0,648,26
750,0,792,62
750,0,679,-121
750,0,2235,234
750,1,105,-164
750,0,39,-306
750,0,222,64
750,0,59,-46
750,0,386,236
751,0,720,-224
752,0,72,-219
752,0,260,-41
752,1,25,-294
752,0,626,132
752,0,298,319
752,0,386,-155
754,0,4946,268
755,0,339,338
763,1,83,-192
768,1,131,-200
768,0,198,142
768,0,701,325
768,0,136,52
768,0,24,-28
769,0,48,177
769,1,65,-67
769,0,648,141
769,0,35,-153
769,0,459,69
769,0,1182,-40
769,0,364,-134
769,0,149,-119
769,0,1076,-115
770,0,2388,157
770,0,1543,489
770,0,4170,393
770,0,2257,63
770,0,240,-188
770,0,242,-99
770,1,28,31
770,0,51,30
771,0,143,25
771,0,235,-3
771,0,128,-85
771,0,52,-72
771,0,45,-66
771,0,1112,247
771,0,155,-32
771,1,21,-182
771,0,1770,49
772,0,863,517
772,1,93,-90
772,0,3771,133
772,0,560,50
772,0,70,-17
772,0,211,-10
772,0,592,-147
772,0,42,-96
772,0,196,-27
773,0,58,-133
773,0,225,15
773,1,37,-63
773,0,17,-92
773,0,123,23
773,0,752,-159
773,0,2111,255
773,0,630,327
773,0,107,-15
773,0,4733,352
774,0,65,-214
774,0,249,350
774,0,97,-5
774,0,421,272
774,0,2712,243
774,0,1564,24
774,0,513,22
774,0,55,-283
775,0,250,13
775,0,66,-130
775,0,2875,269
775,0,199,-134
775,0,26,83
775,0,1698,238
775,0,161,-17
775,0,1780,109
775,0,1251,313
776,0,519,41
776,0,31,-60
776,0,59,56
776,0,43,-91
776,1,473,-59
776,0,81,-139
776,0,137,46
776,0,550,138
776,0,37,-4
776,0,1007,199
777,0,41,-75
777,0,105,189
777,0,29,45
777,0,50,40
777,1,26,28
778,0,39,-40
778,1,296,14
778,0,299,-40
778,0,238,-104
778,0,138,-8
778,0,70,4
778,0,454,-50
778,0,32,-57
778,0,140,-149
778,0,114,-160
778,0,61,-16
778,0,435,-87
779,0,52,-17
779,0,211,-125
779,0,108,-104
779,0,1327,77
779,0,218,-215
779,0,249,382
779,0,297,-89
779,0,36,-270
780,1,16,-90
780,0,127,96
781,0,313,-15
785,0,35,-110
786,0,705,-13
786,0,31,-266
787,0,360,-15
788,0,2445,-44
788,0,5301,90
789,0,63,-171
791,0,865,-399
792,0,98,-125
793,0,915,2
793,0,2306,36
793,0,2418,317
793,0,981,-61
793,0,156,-288
793,0,1479,-62
795,0,1702,-84
795,0,111,9
795,0,2075,57
795,0,572,-101
796,1,53,-304
798,0,3156,-118
798,0,658,-100
798,0,107,-173
798,0,103,-157
798,0,331,-157
799,1,38,-140
799,0,209,-171
799,0,246,-83
799,0,43,29
799,0,3403,-92
800,0,50,-219
800,0,273,-133
803,0,46,-223
803,0,848,-218
804,0,764,221
804,0,1076,145
804,0,417,111
804,0,472,-117
805,0,143,72
805,0,1628,441
805,0,79,-121
805,0,564,-25
805,0,1614,11
805,0,552,66
805,0,486,63
806,0,1472,302
806,0,16,-148
806,0,132,36
806,0,1773,40
806,0,111,-28
806,0,800,4
806,0,277,-2
806,0,896,-10
806,0,143,42
806,0,1309,-16
807,0,41,-129
807,1,30,-6
807,0,113,-112
807,0,1114,213
807,0,143,286
807,0,1242,177
807,0,650,-14
807,0,370,87
808,0,107,-53
808,0,831,-53
808,0,429,-138
808,0,134,-126
808,0,1470,64
808,0,23,-272
808,0,2493,117
808,0,594,-156
808,0,666,7
808,0,2788,256
809,0,174,-28
809,1,27,-77
809,0,703,3
809,0,1197,168
809,0,1023,65
809,0,2601,-24
809,0,2288,253
809,0,867,217
809,0,33,-163
809,0,80,-157
809,0,219,62
810,0,962,278
810,0,486,42
810,0,53,-141
810,0,429,-167
810,0,264,78
811,0,19,-30
811,0,333,-104
811,0,1089,250
811,0,317,69
811,0,195,-151
811,0,119,98
811,0,104,166
812,1,16,-252
812,0,1081,52
812,0,115,-78
812,0,329,160
812,0,1660,-2
812,0,253,99
812,0,1983,284
812,0,463,153
813,0,79,-172
813,0,454,32
813,1,17,-16
813,0,2393,293
813,0,89,-33
813,0,511,168
813,0,32,-99
813,0,1413,255
813,0,339,269
813,0,176,-49
814,0,25,263
814,0,181,-122
814,0,126,262
814,0,43,-170
814,0,191,-236
814,0,82,221
814,1,164,163
814,0,54,34
814,0,1246,-37
814,0,744,49
814,0,258,-66
814,0,629,350
815,0,1613,321
815,0,17,-191
815,0,214,98
815,0,1124,23
815,0,40,-18
815,0,73,-18
815,0,1671,222
815,0,143,77
815,1,130,436
815,0,404,82
815,0,528,71
816,0,112,49
816,0,59,49
816,0,44,-51
816,1,351,386
817,1,54,40
817,0,39,105
817,0,313,411
817,0,88,396
817,0,61,197
817,0,84,64
817,0,50,207
817,0,51,206
818,0,114,-131
818,1,112,-44
818,0,83,-20
818,0,44,-125
818,0,87,44
818,0,60,7
818,0,22,-26
819,0,28,129
819,0,133,-83
819,0,38,-16
819,1,44,91
819,0,65,147
819,0,52,118
820,1,208,376
820,0,106,404
820,0,26,8
820,0,46,-111
820,0,52,-37
820,0,49,-20
820,0,75,11
821,0,40,-20
821,0,39,39
821,0,123,219
821,1,72,26
821,0,142,-57
821,0,22,-158
822,0,179,319
822,0,303,261
822,0,399,231
822,0,74,-15
822,0,94,308
822,0,123,52
822,0,150,26
823,0,101,50
823,0,29,-15
823,0,176,-216
823,0,380,99
823,0,346,2
823,1,18,-208
824,0,162,-196
824,0,47,-187
824,0,123,-2
824,0,46,52
824,0,31,-125
824,1,52,74
824,0,419,485
824,0,65,79
825,0,36,-47
825,0,91,-48
825,0,131,344
825,0,40,-144
825,0,95,-23
825,1,234,20
825,0,46,-54
825,0,260,33
825,0,673,279
825,0,81,296
826,0,91,301
826,0,44,-245
827,1,54,-15
827,0,39,-96
827,0,36,-79
827,0,90,-140
827,0,211,427
827,0,126,-44
827,0,44,-102
827,0,207,188
827,0,370,-101
828,0,73,-180
828,0,440,-5
829,1,13,-104
830,0,152,15
833,0,68,-193
833,0,7682,169
833,0,4751,-63
833,0,6722,232
833,0,2043,98
833,0,209,-68
833,0,6765,17
834,0,272,-128
834,0,439,497
834,0,144,-209
834,0,206,-179
835,0,33,-187
840,0,102,-86
840,0,67,-50
841,0,3056,36
841,0,23,-217
841,0,470,-7
841,0,926,-125
841,0,514,-143
842,0,468,-66
842,0,549,-155
842,0,33,-224
843,1,25,-258
843,0,1721,-159
843,0,178,-188
843,0,150,-195
843,0,585,-188
845,0,116,-132
846,0,20,-187
846,0,419,11
846,0,1758,-46
846,0,184,-189
846,1,53,-42
847,0,279,-105
847,0,142,-194
848,0,1932,-93
849,0,1823,166
849,0,242,-177
849,0,242,-274
849,0,89,-194
849,0,201,-196
851,0,51,-218
851,1,120,-128
851,0,251,-186
851,0,1322,-103
851,0,82,-203
851,0,652,-136
852,0,38,-216
852,0,675,207
852,1,138,287
852,0,129,160
852,0,858,61
852,0,839,175
853,0,290,56
853,1,41,-2
853,0,36,-46
853,0,211,71
854,0,28,36
854,0,261,178
854,0,139,-86
854,0,412,155
854,1,41,-104
855,0,912,-218
855,0,1861,-55
855,0,70,-180
855,0,44,-444
855,0,1569,112
855,0,289,-336
855,0,2001,97
855,0,870,-76
856,0,701,245
856,0,632,0
856,0,62,-33
856,0,295,309
856,0,231,-207
856,0,871,254
856,0,39,-51
856,1,13,-235
857,0,17,-21
857,1,33,-101
857,0,155,160
857,0,159,150
857,0,445,140
857,0,1350,298
857,0,258,-82
857,0,143,443
857,0,172,61
857,0,1664,182
858,0,378,8
858,0,27,-247
858,0,245,-261
858,0,133,-121
858,1,22,-180
858,0,423,24
858,0,63,-47
858,0,88,-505
859,0,711,-122
859,0,194,362
859,0,39,-2
859,0,398,-208
859,1,21,-123
860,0,55,-88
860,0,347,75
860,0,33,-14
860,0,62,-96
860,0,64,-37
860,0,85,53
860,0,600,331
860,0,488,238
860,0,236,256
860,0,307,579
861,0,28,-137
861,1,98,-109
861,0,1091,231
861,0,806,120
861,0,25,-161
861,0,106,515
861,0,428,167
861,0,50,57
862,0,250,90
862,0,105,-59
862,0,205,-189
862,0,130,-162
862,0,316,231
862,0,1096,305
862,0,857,229
862,0,312,174
862,1,11,-241
863,0,156,-22
863,0,284,-11
863,0,170,-56
863,0,966,255
863,0,634,149
863,0,1896,40
863,0,1276,88
863,0,139,-100
863,0,1346,407
864,0,108,-76
864,0,433,202
864,0,837,-193
864,0,1957,51
864,0,38,-104
864,0,384,299
864,0,472,-139
864,0,656,-162
864,0,74,-84
865,0,976,336
865,0,124,-60
865,0,1486,-85
865,0,242,-153
865,1,16,-139
865,0,40,-400
866,0,2647,26
866,0,98,-161
866,0,223,-93
866,0,430,-67
866,1,22,-196
866,0,626,68
866,0,30,-61
866,0,815,-56
866,0,1337,34
866,0,473,417
866,0,520,-147
867,0,136,-76
867,0,21,-104
867,0,271,174
867,1,51,-292
867,0,48,-294
867,0,305,87
867,0,465,-186
868,0,194,-281
868,0,496,-33
868,0,71,-130
868,0,1060,48
868,0,1080,-150
868,0,999,284
868,0,402,-62
868,1,288,-30
868,0,1086,42
868,0,62,-262
868,0,1989,-12
869,0,149,-71
869,0,1952,108
869,0,2634,94
869,0,301,-90
869,0,150,-107
869,0,114,-37
869,0,42,-384
869,1,13,-360
869,0,1662,156
870,0,1149,234
870,0,44,-1
870,0,115,20
870,0,80,-200
870,0,114,382
870,0,304,146
870,0,221,214
870,1,16,-185
871,0,541,101
871,0,68,-222
871,0,87,-36
871,0,1582,479
871,0,407,-24
871,1,13,-328
871,0,494,93
871,0,649,64
872,0,1291,188
872,1,18,-227
872,0,786,353
872,0,242,-206
872,0,196,39
872,0,90,28
872,0,1894,357
873,0,52,-261
873,0,57,146
873,0,145,180
873,0,434,235
873,0,117,-77
873,1,29,-99
873,0,31,-246
873,0,436,-30
873,0,363,111
874,0,45,-166
874,0,46,-69
874,0,176,239
874,0,37,224
874,0,108,-34
874,0,123,84
875,0,164,616
875,0,115,122
875,0,96,104
875,0,36,-111
875,0,47,-50
875,0,75,231
875,1,26,70
876,1,56,0
876,0,37,44
876,0,78,-214
876,0,89,83
876,0,52,-178
876,0,89,194
876,0,117,314
876,0,57,-6
877,0,200,164
877,0,44,43
877,1,38,-51
877,0,42,157
877,0,43,605
877,0,38,99
878,0,32,-94
878,0,39,-32
878,0,78,427
878,1,43,-74
878,0,54,-50
878,0,98,623
879,0,63,74
879,0,160,460
879,1,62,-66
879,0,21,13
879,0,33,3
879,0,89,-104
880,0,216,511
880,0,338,301
880,0,29,-167
880,0,99,19
880,0,252,272
881,0,81,8
881,0,458,268
881,0,149,-99
881,0,49,-133
881,1,42,-216
881,0,304,-22
881,0,140,507
881,0,28,-123
881,0,69,68
882,0,43,-119
882,0,144,201
882,0,282,98
882,0,327,116
882,0,61,-116
882,0,346,424
882,0,126,5
882,0,62,36
882,1,22,66
883,0,402,-100
883,0,84,-166
883,0,151,446
883,0,260,234
883,0,44,-104
883,0,149,392
883,1,18,-101
884,1,39,522
884,0,189,298
884,0,26,13
884,0,35,-56
884,0,50,9
884,0,167,-123
884,0,387,-88
885,0,2332,282
885,0,119,-81
885,0,171,14
885,0,346,12
885,0,1090,-47
886,0,3928,77
886,0,1163,56
887,0,1525,445
889,0,1296,238
889,0,37,-51
889,1,217,181
889,0,1479,36
889,0,184,-237
889,0,1129,8
889,0,1322,189
890,0,488,7
890,0,1744,147
892,0,145,204
892,0,405,95
893,0,197,-120
894,0,209,68
894,0,2834,100
894,0,56,-188
894,0,4081,277
894,0,785,75
895,0,58,-118
896,0,34,-143
896,0,149,-111
898,0,1798,330
898,0,33,-80
898,0,78,104
898,0,408,103
898,0,24,-142
898,0,215,-132
898,1,68,-129
898,0,101,-22
898,0,422,-77
898,0,2512,151
899,0,80,-143
899,0,75,-86
899,1,53,249
899,0,2136,276
899,0,1582,91
899,0,949,200
899,0,14,-142
899,0,250,-149
900,0,178,79
900,0,868,54
900,0,1249,81
900,0,225,-29
900,0,601,93
900,0,704,213
900,1,40,-279
900,0,20,-349
901,0,83,-138
901,0,892,137
901,0,181,12
901,0,21,-138
901,1,19,-134
901,0,3249,176
901,0,2112,187
902,0,550,-111
902,0,1115,311
902,0,28,-330
902,1,17,-110
902,0,1708,115
902,0,404,135
902,0,74,-51
902,0,1878,-3
903,0,1175,233
903,0,2536,189
903,0,29,-152
903,0,302,220
903,1,68,18
903,0,26,-190
903,0,58,94
903,0,875,256
903,0,74,-36
903,0,345,90
904,0,82,-30
904,0,50,157
904,0,1627,222
904,0,1133,167
904,1,185,9
904,0,51,-160
904,0,160,-66
904,0,98,82
904,0,61,-45
905,0,16,-141
905,0,2029,560
905,0,381,319
905,0,346,138
905,0,62,37
905,1,191,-2
905,0,272,-166
906,0,353,128
906,0,38,-41
906,0,100,-107
906,0,31,-180
906,0,176,-61
906,0,570,234
906,0,2021,512
906,1,61,334
906,0,36,-63
907,0,1975,-137
907,0,353,-253
907,0,15,-364
907,0,753,-85
907,0,168,-347
907,0,510,-180
907,0,38,-441
907,1,88,-246
907,0,409,-170
907,0,117,-49
908,0,2049,604
908,0,18,-252
908,0,268,-10
908,0,127,-31
909,0,68,139
909,0,26,-205
909,0,434,169
909,0,300,253
909,1,38,147
909,0,133,162
909,0,34,183
910,0,43,103
910,0,21,-91
910,0,498,407
910,0,292,188
910,0,152,6
910,1,69,212
911,0,157,-84
911,0,50,-124
911,0,87,-90
911,1,26,61
911,0,78,-157
911,0,303,75
911,0,68,-207
911,0,151,71
912,0,55,-55
912,0,52,317
912,0,54,-90
912,0,63,-126
912,0,222,12
912,1,71,-62
912,0,47,-93
913,0,168,369
913,0,104,104
913,0,56,226
913,1,13,-65
913,0,171,354
914,0,25,-106
914,0,33,-84
914,0,30,8
914,1,60,393
915,0,25,-246
915,1,33,-67
915,0,53,-77
915,0,124,-154
915,0,108,726
915,0,135,218
915,0,80,-165
916,0,382,-76
916,0,111,-236
916,0,53,228
916,1,19,-155
916,0,59,-13
916,0,86,-32
917,0,17,109
917,0,44,-8
917,0,204,229
917,0,194,121
917,0,47,-55
917,1,79,395
918,0,326,50
918,0,45,-129
918,1,26,-460
918,0,169,53
918,0,934,649
918,0,71,6
918,0,631,133
918,0,224,-76
918,0,43,-100
918,0,86,-37
919,0,110,164
919,0,67,180
919,0,192,-43
919,0,379,70
919,0,438,60
919,0,59,-232
919,0,15,-114
919,0,473,123
919,0,1003,119
920,0,240,116
920,0,37,-3
920,0,373,367
920,0,120,-131
920,0,59,106
920,1,56,27
920,0,57,-67
920,0,37,22
920,0,223,184
924,0,952,-5
924,0,2698,200
925,0,207,-137
925,0,1513,131
925,0,128,-77
926,0,368,2
926,0,601,-13
927,0,361,58
927,0,472,207
927,0,1523,207
927,0,1968,261
927,0,303,-147
927,0,153,-70
927,0,55,-129
927,0,1206,122
928,0,85,-6
928,0,280,-39
928,0,43,9
928,0,707,161
928,0,144,-3
928,0,205,28
928,0,2490,130
930,0,119,8
930,0,228,-52
930,0,115,-330
930,0,200,-87
931,0,438,-189
931,0,710,-84
932,0,85,-177
932,0,56,-182
932,0,355,27
932,0,122,34
934,0,1289,360
934,0,868,650
934,0,486,269
934,0,75,196
934,0,41,-141
934,0,56,303
934,0,196,153
935,0,40,-281
935,0,777,155
935,0,2490,399
935,0,426,295
936,0,103,88
936,1,22,55
936,0,213,75
936,0,28,1
936,0,886,137
936,0,1122,384
936,0,107,196
937,0,477,-174
937,0,2419,279
937,1,13,-296
937,0,798,72
937,0,960,-167
937,0,326,63
938,0,58,-259
938,0,154,-192
938,0,1321,135
938,0,2845,389
938,0,1180,223
938,1,17,-98
938,0,671,-39
938,0,290,108
939,0,2753,371
939,0,98,-79
939,0,131,107
939,0,31,-42
939,0,753,78
939,1,272,151
940,0,3656,594
940,0,13,-474
940,0,1067,219
940,0,536,-44
941,0,123,-269
941,0,58,-245
941,0,104,36
941,0,347,-229
941,0,228,-142
943,0,822,72
943,0,972,239
943,0,1409,109
943,0,151,113
943,0,118,172
944,1,22,-244
944,0,860,428
944,0,274,-161
944,0,375,-135
944,0,48,-163
944,0,756,57
944,0,976,-1
945,1,98,-55
945,0,129,405
945,0,134,-113
945,0,14,-7
945,0,775,323
946,0,69,-136
946,0,1271,295
946,0,138,-100
946,0,259,19
946,0,578,-75
947,0,441,204
947,0,84,-387
947,0,1497,286
947,0,908,38
947,0,66,-301
